"Designator","Comment","Footprint","JLCPCBPart#"
"C1, C7, ","10uF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","C531341 "
"C2, C4, ",".1uF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C84772 "
"C3, ","330pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C2896045"
"C8, ","1000uF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","C43909"
"C9, C10, ","100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","C45075"
"D4, ","Red SMT LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C2286"
"D5, ","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","C895212"
"D6, ","1N5819","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","C110032"
"D7, ","Yellow SMT LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C72038"
"D8, ","Blue SMT LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C2288"
"J1, J2, J3, J4, J5, J6, ","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","C305956"
"J7, ","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C2905434"
"L1, ","100uH","Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP","C7343084"
"L2, ","1.8uH","Inductor_THT:L_Axial_L9.5mm_D4.0mm_P12.70mm_Horizontal_Fastron_SMCC","C17370623"
"L3, ","1.8uH","Inductor_SMD:L_Sunlord_SWPA4012S","C96867"
"R1, R3, ","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57436 "
"R2, ","4.7K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C176521"
"R4, ","953","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C57435"
"R5, ","8.2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C172593"
"R6, ",".33","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C119970"
"TP1, ","TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","C238124 "
"U1, ","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","C111887 "
"U2, ","MC34063AD","Package_DIP:DIP-8_W7.62mm_LongPads","C5180"
